practice_set_id,audio_file,target_word,participant_id,native_language,l1_condition,condition,accent_condition,pronunciation_condition,talker,pass_number,trial_number,word_number,take_number,spoken_form,expert_comprehensibility_1_9,expert_accentedness_1_9,expert_comprehensibility_range,expert_accentedness_range,practice_note,source_format,size_bytes,sha256
practice_calibration_v0.10.1,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/eng_female_appreciation_practice.wav,appreciation,practice_eng_female,ENG,ENG,practice_natural,natural,natural,practice_eng_female,,1,1,,appreciation,,,1–2,1–2,Researcher-provided calibration WAV; collaborator-reviewed Accentedness range 1–2 and Comprehensibility range 1–2,researcher_provided_calibration_wav,203920,69aee95815630ec2e5563473eb3e7c4b4e1606134beb44910676e2f1e901c1bd
practice_calibration_v0.10.1,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/jpn_male_pesticide_practice.wav,pesticide,practice_jpn_male,JPN,JPN,practice_accented,accented,accented,practice_jpn_male,,2,2,,pesticide,,,1–2,2–3,Researcher-provided calibration WAV; collaborator-reviewed Accentedness range 2–3 and Comprehensibility range 1–2,researcher_provided_calibration_wav,154808,3ef097d287d04a8f5e300917727abd5f28f55e8e1f2abcb66fc0f210ec6c30d4
practice_calibration_v0.10.1,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/jpn_female_quality_practice.wav,quality,practice_jpn_female,JPN,JPN,practice_accented,accented,accented,practice_jpn_female,,3,3,,quality,,,2–3,4–5,Researcher-provided calibration WAV; collaborator-reviewed Accentedness range 4–5 and Comprehensibility range 2–3,researcher_provided_calibration_wav,164088,8b01e13b47f45f8efda480339c15876a2d4594000b07454a177a1d4b78ea9763
practice_calibration_v0.10.1,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/chn_female_organizer_practice.wav,organizer,practice_chn_female,CHN,CHN,practice_accented,accented,accented,practice_chn_female,,4,4,,organizer,,,5–7,4–6,Researcher-provided calibration WAV; collaborator-reviewed Accentedness range 4–6 and Comprehensibility range 5–7,researcher_provided_calibration_wav,184152,1336b859808f091e6cc31a3247695f56e197bacedd9d4ca9b48f4b4cef859ac1
practice_calibration_v0.10.1,https://pub-c26f53c7e40c448db5847c2079933f52.r2.dev/practice/calibration/chn_male_balloon_practice.wav,balloon,practice_chn_male,CHN,CHN,practice_accented,accented,accented,practice_chn_male,,5,5,,balloon,,,4–6,6–8,Researcher-provided calibration WAV; collaborator-reviewed Accentedness range 6–8 and Comprehensibility range 4–6,researcher_provided_calibration_wav,124440,5803d3d56eaba60cabfe8aed51570a4905216ae7a1876131709c3fd671586ba4
